"OID_","ID1","ID2","dist12"
,1,6,19.999799
,2,7,19.999900
,2,8,20.000099
,3,5,19.999799
,3,13,20.000000
,4,5,19.999799
,4,9,19.999900
,5,13,19.999900
,5,4,19.999799
,5,3,19.999799
,6,1,19.999799
,6,11,19.999900
,7,19,20.000000
,7,2,19.999900
,7,8,20.007600
,8,7,20.007600
,8,19,19.999799
,8,2,20.000099
,8,10,19.999900
,9,13,20.000000
,9,11,19.999900
,9,4,19.999900
,9,14,19.999900
,10,19,19.999799
,10,11,19.999900
,10,8,19.999900
,10,22,19.999900
,11,6,19.999900
,11,15,19.999900
,11,10,19.999900
,11,22,19.999900
,11,9,19.999900
,11,14,20.885900
,12,13,19.999900
,12,44,20.000000
,13,5,19.999900
,13,40,19.999900
,13,9,20.000000
,13,14,20.000000
,13,3,20.000000
,13,12,19.999900
,14,13,20.000000
,14,11,20.885900
,14,15,19.999900
,14,9,19.999900
,14,17,19.999900
,14,43,19.999799
,15,11,19.999900
,15,18,19.999900
,15,22,20.000000
,15,14,19.999900
,16,20,20.000000
,17,18,19.999900
,17,14,19.999900
,17,21,20.000000
,17,43,19.999900
,18,15,19.999900
,18,25,19.999900
,18,17,19.999900
,18,21,19.999799
,19,7,20.000000
,19,24,19.999900
,19,8,19.999799
,19,10,19.999799
,19,22,19.999900
,20,41,19.999900
,20,16,20.000000
,21,18,19.999799
,21,25,19.999900
,21,39,19.999900
,21,17,20.000000
,21,43,19.999900
,21,52,20.000000
,22,19,19.999900
,22,24,20.000000
,22,54,19.999900
,22,11,19.999900
,22,15,20.000000
,22,25,20.000000
,22,10,19.999900
,22,23,19.999799
,23,54,20.000000
,23,25,19.999900
,23,22,19.999799
,24,19,19.999900
,24,58,19.999900
,24,22,20.000000
,25,54,20.000000
,25,18,19.999900
,25,39,19.999799
,25,55,19.999900
,25,22,20.000000
,25,23,19.999900
,25,21,19.999900
,26,27,19.999900
,26,41,20.000000
,26,64,19.999900
,26,61,19.999900
,27,41,19.999799
,27,64,19.999900
,27,26,19.999900
,28,56,20.000000
,28,60,19.999900
,28,71,20.000000
,28,53,19.999799
,29,57,20.000000
,29,72,20.000000
,29,74,19.998399
,29,55,19.999900
,29,30,19.999900
,30,54,19.999799
,30,69,19.999900
,30,70,19.999900
,30,74,20.251300
,30,29,19.999900
,30,55,20.000499
,30,59,19.999900
,31,177,20.000000
,31,175,19.999900
,31,179,19.999900
,31,146,19.999799
,31,161,20.000000
,31,163,19.999900
,32,279,20.000000
,32,34,20.000099
,32,272,20.000000
,32,286,19.999799
,33,282,20.000000
,33,287,20.000000
,33,275,19.999900
,33,276,20.000000
,33,278,20.031299
,33,291,19.999900
,34,279,19.999900
,34,277,19.999900
,34,300,19.999900
,34,38,19.999900
,34,32,20.000099
,34,286,20.000000
,34,303,20.000000
,35,140,19.999900
,35,301,19.999799
,35,270,19.999900
,35,271,21.721900
,35,285,19.999900
,35,289,19.999900
,36,265,20.000000
,36,288,19.999799
,36,290,20.000000
,37,279,19.999900
,37,283,20.000000
,37,139,19.999900
,37,274,20.362400
,37,284,21.057699
,37,38,19.999900
,38,37,19.999900
,38,279,19.999900
,38,283,20.000099
,38,34,19.999900
,38,277,19.999900
,38,300,19.999900
,38,296,19.999900
,39,25,19.999799
,39,55,19.999900
,39,21,19.999900
,39,52,21.260299
,40,13,19.999900
,40,56,19.999799
,40,43,19.999900
,40,44,19.999799
,41,27,19.999799
,41,61,19.872100
,41,26,20.000000
,41,20,19.999900
,42,61,20.000000
,42,63,19.652399
,42,44,18.887800
,43,40,19.999900
,43,14,19.999799
,43,17,19.999900
,43,21,19.999900
,43,52,19.999900
,44,40,19.999799
,44,42,18.887800
,44,12,20.000000
,44,53,19.914199
,45,46,20.000000
,45,113,20.000000
,45,121,20.000000
,45,130,20.000000
,46,113,20.000000
,46,129,19.999900
,46,47,19.999900
,46,105,19.999900
,46,45,20.000000
,47,46,19.999900
,47,108,20.000000
,47,129,19.999900
,47,111,19.999900
,47,126,19.999900
,47,105,20.000099
,47,107,20.000000
,47,116,19.999900
,47,125,19.999799
,48,158,19.999799
,48,117,19.999900
,48,128,19.999900
,48,156,19.999900
,49,169,20.000000
,49,51,20.000099
,49,200,19.999900
,49,204,19.999900
,50,167,20.000000
,50,187,20.000000
,50,202,20.000000
,50,189,19.999900
,51,170,19.999799
,51,171,19.999799
,51,192,19.999799
,51,49,20.000099
,51,204,20.000099
,51,183,20.000000
,52,56,20.000000
,52,57,19.999900
,52,39,21.260299
,52,55,20.000000
,52,21,20.000000
,52,43,19.999900
,53,56,19.999900
,53,60,20.000000
,53,63,19.999900
,53,28,19.999799
,53,44,19.914199
,54,58,20.000000
,54,25,20.000000
,54,55,19.999900
,54,22,19.999900
,54,23,20.000000
,54,30,19.999799
,54,59,20.000000
,55,57,20.000000
,55,54,19.999900
,55,25,19.999900
,55,29,19.999900
,55,39,19.999900
,55,30,20.000499
,55,52,20.000000
,56,40,19.999799
,56,57,19.999900
,56,72,19.999900
,56,52,20.000000
,56,28,20.000000
,56,53,19.999900
,57,56,19.999900
,57,72,19.999900
,57,29,20.000000
,57,55,20.000000
,57,52,19.999900
,58,24,19.999900
,58,54,20.000000
